Employee ID|First Name|Last Name|Username|HashedPassword|Society ID|Role
20019|Elijah|Taylor|elijahtaylor242|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|70,34|employee
20020|Ella|Jackson|ellajackson847|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|18,6|employee
20021|David|Harris|davidharris867|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|9|employee
20022|Lily|Clark|lilyclark469|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|78|employee
20023|James|Lewis|jameslewis590|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|11,5|employee
20024|Sofia|Robinson|sofiarobinson470|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|61|admin
20025|Benjamin|Hall|benjaminhall784|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|16,79|employee
20026|Mia|Gomez|miagomez279|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|49|employee
20027|Henry|Martinez|henrymartinez846|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|52,58|admin
20028|Grace|Baker|gracebaker843|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|76|employee
20029|Sebastian|Gonzalez|sebastiangonzalez902|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|31|employee
20030|Zoe|Nelson|zoenelson921|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|30|employee
20031|Jacob|Cruz|jacobcruz333|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|4|employee
20032|Layla|Perkins|laylaperkins615|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|60,12|admin
20033|Matthew|Patel|matthewpatel109|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|35,6|employee
20034|Evelyn|Ward|evelynward234|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|33,9|employee
20035|Ethan|Sanders|ethansanders769|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|42|employee
20036|Chloe|Nguyen|chloenguyen285|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|13|employee
20037|Logan|Stewart|loganstewart953|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|15|employee
20038|Abigail|Flores|abigailflores780|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|16|admin
20039|Joseph|Torres|josephtorres350|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|18,64|employee
20040|Avery|Nguyen|averynguyen174|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|30|employee
20041|Zachary|Hughes|zacharyhughes810|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|50,48|admin
20042|Emily|Kelly|emilykelly461|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|72|employee
20043|Joshua|Foster|joshfoster563|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|5,17|employee
20044|Charlotte|Morgan|charlottemorgan872|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|24|admin
20045|Ryan|Cox|ryancox498|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|68|employee
20046|Scarlett|Ward|scarlettward456|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|5,29|employee
20047|Isaac|Richardson|isaacrichardson357|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|59|admin
20048|Victoria|James|victoriajames420|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|77|employee
20049|Henry|Scott|henryscott999|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|2,65|employee
20050|Nora|Campbell|noracampbell848|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|38|employee
